name,min_players,max_players,min_playtime,max_playtime,min_age,complexity,rating,best_players,tags
7 Wonders,2,7,30,30,10,2.3165,7.67813,Best with 4–5 players,"strategy,family"
7 Wonders: Babel,2,7,45,45,10,2.6593,6.87596,Best with 5 players,strategy
7 Wonders Duel,2,2,30,30,10,2.2245,8.09341,Best with 2 players,strategy
A Game of Thrones: The Board Game (Second Edition),3,6,120,240,14,3.7288,7.53416,Best with 6 players,strategy
Above and Below,2,4,90,90,13,2.5216,7.35964,Best with 3 players,thematic
Alhambra,2,6,45,60,8,2.1007,7.03141,Best with 3 players,"strategy,family"
Android: Mainframe,2,4,15,30,12,1.8409,6.56537,Best with 2 players,abstracts
Anomia,3,6,30,30,10,1.0405,6.68989,Best with 5 players,party
Architects of the West Kingdom,1,5,60,80,12,2.7572,7.72689,Best with 4 players,strategy
Arctic Scavengers,2,5,45,60,12,2.2635,6.75558,Best with 4 players,strategy
Ascension,2,2,10,10,0,0,7.30222,Best with 2 players,
Assault of the Giants,3,6,60,150,14,3.4231,6.65904,Best with 4–5 players,strategy
Bananagrams,1,8,15,15,7,1.2965,6.40355,Best with 3–5 players,family
Dungeon Degenerates: Hand of Doom,1,4,30,360,10,3.642,8.08385,Best with 1–2 players,thematic
Bärenpark,2,4,30,45,8,1.6571,7.29124,Best with 4 players,family
Betrayal at Baldur's Gate,3,6,60,60,12,2.5694,7.07729,Best with 5 players,thematic
Witness,4,4,15,15,13,1.4848,7.23936,Best with 4 players,"thematic,party"
Blokus,2,4,20,20,7,1.7419,6.85991,Best with 4 players,abstracts
Bloodborne: The Card Game,3,5,30,45,14,2.0588,6.86161,Best with 4–5 players,thematic
Calico,1,4,30,45,10,2.1859,7.51776,Best with 2 players,"abstracts,family"
Call of Cthulhu: The Card Game,2,2,30,30,13,2.8945,6.89343,Best with 2 players,"cgs,strategy"
Call to Adventure,1,4,30,60,13,2.0062,7.07385,Best with 3 players,thematic
Camel Up,2,8,20,30,8,1.4968,7.03848,Best with 4–5 players,family
Captain Sonar,2,8,45,60,14,2.1964,7.51359,Best with 8 players,"thematic,party"
Carcassonne,2,5,30,45,7,1.8907,7.41027,Best with 2 players,family
Cartographers,1,100,30,45,10,1.8769,7.58871,Best with 3–4 players,family
Catch the Moon,1,6,20,20,6,1,6.75389,Best with 3–4 players,family
Century: Spice Road,2,5,30,45,8,1.8003,7.30043,Best with 3–4 players,family
Clank! In! Space!: A Deck-Building Adventure,2,4,45,90,12,2.5772,7.77962,Best with 3 players,"strategy,family"
Codenames,2,8,15,15,14,1.2605,7.53707,"Best with 6, 8 players",party
Codenames: Duet,2,2,15,30,11,1.363,7.42943,Best with 2 players,family
Codenames: Pictures,2,8,15,15,10,1.2425,7.18291,Best with 6 players,party
Cosmic Encounter,3,5,60,120,12,2.5828,7.52038,Best with 5 players,"thematic,strategy"
Council of Verona,2,5,20,20,13,1.3857,6.28425,Best with 3 players,party
Coup,2,6,15,15,13,1.4096,6.98137,Best with 5 players,party
Coup: Rebellion G54,3,6,15,15,14,1.9268,6.99085,Best with 5–6 players,party
Custom Heroes,2,6,45,45,14,1.619,6.81461,Best with 4 players,family
Cutthroat Caverns,3,6,90,90,12,2.0837,6.50688,Best with 5–6 players,thematic
Desperados of Dice Town,2,4,25,25,8,1.3636,6.15342,Best with 4 players,family
Dice Forge,2,4,45,45,10,1.9659,7.22499,Best with 4 players,family
Diplomacy,2,7,360,360,12,3.3339,7.03862,Best with 7 players,"war,strategy"
Dixit,3,8,30,30,8,1.1969,7.19634,Best with 5–6 players,party
Dominion (Second Edition),2,4,30,30,14,2.1565,7.83149,Best with 2–3 players,strategy
Don't Break the Ice,2,4,20,20,3,1.1264,4.76857,Best with 2 players,childrens
Dungeon Roll,1,4,15,30,8,1.3333,6.08408,Best with 2 players,family
Edge of Darkness,1,4,120,120,14,3.4255,7.47819,Best with 3 players,strategy
Eldritch Horror,1,8,120,240,14,3.3204,7.74917,Best with 4 players,thematic
Eminent Domain,2,4,45,45,10,2.5073,6.97853,Best with 3 players,strategy
Flash Point,1,6,30,30,12,2.1429,6.90283,Best with 2 players,
Forbidden Desert,2,5,45,45,10,2.0375,7.07329,Best with 4 players,family
Forbidden Island,2,4,30,30,10,1.7346,6.75855,Best with 4 players,family
Funemployed,3,20,30,30,13,1.1569,6.64359,Best with 5–6 players,party
The Fury of Dracula,2,4,180,180,14,2.5955,6.92196,Best with 4 players,thematic
Fuse,2,2,5,15,8,1,7.11905,,
Galaxy Trucker,2,4,60,60,10,2.3298,7.34012,Best with 4 players,thematic
Good Cop Bad Cop,4,8,10,20,12,1.2593,6.54933,"Best with 6, 8 players",party
ICECOOL,2,4,30,30,6,1.0552,6.7873,Best with 4 players,"childrens,family"
Inis,2,4,60,90,14,2.9476,7.82514,Best with 4 players,strategy
Innovation,2,4,45,60,12,2.7667,7.3024,Best with 2 players,strategy
Isle of Skye: Big Box,2,5,60,60,8,2.1667,7.91506,Best with 4 players,
King of Tokyo,2,6,30,30,8,1.4867,7.12842,Best with 4–5 players,family
Koryŏ,2,4,10,20,13,1.871,6.59054,Best with 3 players,strategy
Ladies & Gentlemen,4,10,30,30,14,2.0909,6.45695,"Best with 6, 8 players","thematic,party"
Letters from Whitechapel,2,6,90,90,14,2.6456,7.34349,Best with 2 players,"thematic,strategy"
Lifeboat,4,6,60,60,13,1.7419,6.29784,Best with 6 players,party
Love Letter,2,6,20,20,10,1.1176,7.51928,Best with 4 players,"party,family"
Machi Koro,2,4,30,30,10,1.5237,6.60117,Best with 4 players,family
Mafia de Cuba,6,12,10,20,10,1.4725,6.5201,Best with 8–10 players,party
Magic Maze,1,8,15,15,8,1.7546,6.95143,Best with 4 players,"party,family"
Mansions of Madness,2,5,120,180,13,3.247,7.25695,Best with 5 players,thematic
Master of Orion: The Board Game,2,4,40,60,12,2.4348,6.92488,Best with 3 players,strategy
Mountains of Madness,3,5,60,90,12,2.0714,6.49954,Best with 4–5 players,party
Mystic Vale,2,4,45,45,14,2.2527,7.24802,Best with 2 players,strategy
Noisy Persons Card Game,3,10,10,120,8,1,5.70172,Best with 6 players,
One Night Revolution,3,10,15,15,14,1.8696,6.07479,Best with 5–7 players,"strategy,party"
One Night Ultimate Werewolf,3,10,10,10,8,1.3776,7.04922,Best with 6–8 players,party
Ooga Booga,3,6,10,10,7,1.0233,5.98618,Best with 5–6 players,party
Pandemic,2,4,45,45,8,2.3987,7.53148,Best with 4 players,"strategy,family"
The Quacks of Quedlinburg,2,4,45,45,10,1.9422,7.81759,Best with 4 players,family
Quantum,2,4,60,60,13,2.4676,7.23461,Best with 4 players,strategy
Quarto,2,2,20,20,8,1.8939,6.89424,Best with 2 players,abstracts
Queendomino,2,4,25,25,8,2.0637,7.15313,Best with 2 players,family
Red Flags,3,20,15,15,16,1,6.13134,Best with 6 players,party
Red November,1,8,60,120,13,2.0722,6.29408,Best with 4 players,strategy
Res Arcana,2,4,30,60,12,2.6386,7.63972,Best with 2 players,strategy
Rhino Hero: Super Battle,2,4,10,20,5,1.0964,7.22531,Best with 3–4 players,"childrens,family"
Rise of Empires,2,5,150,150,12,3.5442,7.01745,Best with 4 players,strategy
Roll for the Galaxy,2,5,45,45,13,2.7796,7.58576,Best with 3–4 players,strategy
Roll Player,1,4,60,90,10,2.4338,7.44013,Best with 3 players,strategy
Saboteur,3,10,30,30,8,1.3186,6.54372,Best with 7–8 players,"party,family"
Sagrada,1,4,30,45,14,1.9171,7.47402,Best with 2 players,"abstracts,family"
San Juan,2,4,45,60,10,2.2851,7.23189,Best with 3 players,strategy
Say Anything,3,8,30,30,13,1.0906,6.70451,Best with 6–8 players,party
Scythe,1,5,90,115,14,3.4482,8.13277,Best with 4 players,strategy
Shadows over Camelot,3,7,60,90,10,2.5669,7.09985,Best with 5–7 players,thematic
Skull,3,6,15,45,10,1.1165,7.18681,Best with 5–6 players,party
Space Alert,1,5,30,30,12,2.9695,7.38933,Best with 4–5 players,thematic
Speedy Words,2,8,10,15,6,1,6.11586,Best with 3 players,
"Spot it! 1,2,3",2,6,15,15,4,1.0278,6.29855,Best with 4 players,childrens
Spot it!,2,8,15,15,7,1.0349,6.54865,Best with 4–5 players,party
Star Realms,1,4,20,20,12,2,7.85469,Best with 2 players,
Steam Park,2,4,60,60,10,2.1182,6.82468,Best with 4 players,family
Suburbia,1,4,60,90,8,2.762,7.47074,Best with 3 players,strategy
Summer Camp,2,4,30,45,10,1.8824,7.14373,Best with 3 players,family
Sushi Go Party!,2,8,20,20,8,1.3051,7.38918,Best with 4–5 players,family
Tak,2,2,20,60,12,2.44,7.57766,Best with 2 players,abstracts
Terra Mystica,2,5,60,150,12,3.9726,8.05443,Best with 4 players,strategy
Terraforming Mars,1,5,120,120,12,3.2645,8.35383,Best with 3 players,strategy
Terror in Meeple City,2,4,45,45,8,1.4798,6.82494,Best with 4 players,family
The Crew: Mission Deep Sea,2,5,20,20,10,2.0272,8.12666,Best with 4 players,family
The Crew: The Quest for Planet Nine,2,5,20,20,10,1.9523,7.79324,Best with 4 players,family
The Dragon & Flagon,2,8,60,60,10,2.4091,6.39179,Best with 6 players,"thematic,strategy"
The Grizzled,2,5,30,30,14,1.9755,7.12827,Best with 4–5 players,thematic
The Last Garden,2,4,30,45,13,2.3333,6.88973,Best with 3 players,
The Lord of the Rings: The Card Game,1,2,30,60,13,3.2108,7.66212,Best with 2 players,cgs
The Mind,2,4,20,20,8,1.0775,6.751,Best with 4 players,"party,family"
The Red Dragon Inn,2,4,45,45,13,1.6608,6.55147,Best with 4 players,"thematic,party"
The Resistance,5,10,30,30,13,1.5913,7.2082,Best with 7 players,party
The Thing,2,4,45,45,18,2.3333,6.95929,Best with 4 players,thematic
Tigris & Euphrates,2,4,60,120,14,3.497,7.70402,Best with 4 players,strategy
Tiny Epic Defenders,1,4,30,30,13,1.8286,6.24303,Best with 1 players,strategy
Tiny Epic Galaxies,1,5,30,45,14,2.1482,7.33012,Best with 3 players,strategy
Tiny Epic Kingdoms,2,5,30,45,13,2.0891,6.54336,Best with 4 players,strategy
Tiny Epic Mechs,1,4,30,60,14,2.5192,6.70072,Best with 3–4 players,strategy
Tiny Epic Pirates,1,4,30,60,14,2.859,7.02632,Best with 3 players,strategy
Tiny Epic Tactics,1,4,30,60,14,2.5,6.7325,"Best with 2, 4 players",strategy
Tiny Epic Tactics: Maps Expansion,1,4,30,60,14,0,6.47194,,
Tiny Epic Western,1,4,30,45,14,2.8793,6.62486,Best with 4 players,strategy
Tiny Towns,1,6,45,60,14,2.0533,7.21798,Best with 3 players,family
Tokaido,2,5,45,45,8,1.7402,6.92146,Best with 4 players,family
Tokyo Highway,2,4,30,30,8,1.3611,6.83033,Best with 3 players,family
Trails,2,4,20,40,10,1.7791,7.06338,Best with 2 players,family
